iter	Passed	Remaining
0	0	945
1	1	857
2	2	828
3	3	842
4	4	858
5	5	848
6	5	836
7	6	825
8	7	813
9	8	798
10	8	795
11	9	786
12	10	784
13	11	780
14	11	773
15	12	769
16	13	763
17	13	763
18	14	759
19	15	754
20	16	750
21	16	746
22	17	749
23	18	755
24	19	753
25	19	749
26	20	750
27	21	750
28	22	753
29	23	750
30	23	749
31	24	748
32	25	746
33	26	744
34	26	742
35	27	743
36	28	742
37	29	740
38	30	739
39	30	738
40	31	734
41	32	739
42	33	739
43	34	740
44	34	740
45	35	739
46	36	738
47	37	739
48	38	739
49	38	738
50	39	737
51	40	736
52	41	734
53	41	732
54	42	729
55	43	727
56	43	725
57	44	722
58	45	722
59	45	720
60	46	721
61	47	720
62	48	719
63	49	718
64	49	717
65	50	718
66	51	719
67	52	718
68	53	717
69	53	716
70	54	715
71	55	713
72	56	712
73	56	710
74	57	709
75	58	707
76	58	705
77	59	703
78	60	702
79	61	703
80	61	702
81	62	702
82	63	698
83	64	698
84	64	697
85	65	697
86	66	695
87	66	693
88	67	691
89	68	688
90	68	685
91	69	683
92	69	680
93	70	678
94	70	675
95	71	673
96	72	671
97	72	669
98	73	666
99	73	664
100	74	661
101	75	661
102	76	662
103	76	661
104	77	659
105	78	658
106	78	658
107	79	657
108	80	656
109	80	654
110	81	652
111	82	650
112	82	648
113	83	646
114	83	644
115	84	642
116	84	639
117	85	637
118	85	636
119	86	634
120	87	632
121	87	629
122	88	628
123	88	626
124	89	625
125	90	625
126	90	625
127	91	624
128	92	624
129	93	623
130	93	622
131	94	621
132	95	619
133	95	618
134	96	616
135	96	615
136	97	614
137	98	612
138	98	610
139	99	609
140	99	608
141	100	605
142	100	604
143	101	602
144	101	601
145	102	600
146	103	598
147	103	597
148	104	596
149	105	596
150	105	595
151	106	596
152	107	597
153	108	597
154	109	596
155	110	595
156	110	593
157	111	592
158	111	591
159	112	590
160	112	587
161	113	586
162	113	585
163	114	584
164	115	583
165	115	581
166	116	580
167	117	579
168	117	578
169	118	576
170	118	576
171	119	577
172	120	578
173	121	578
174	122	576
175	123	575
176	123	576
177	124	576
178	125	574
179	126	574
180	126	573
181	127	572
182	128	571
183	128	571
184	129	569
185	129	568
186	130	567
187	131	566
188	131	565
189	132	564
190	132	562
191	134	563
192	135	565
193	136	565
194	137	566
195	138	566
196	138	565
197	139	564
198	140	563
199	140	562
200	141	561
201	141	560
202	142	559
203	143	558
204	143	557
205	144	556
206	144	555
207	145	553
208	146	552
209	146	551
210	147	550
211	147	549
212	148	550
213	150	552
214	151	552
215	151	551
216	152	550
217	153	549
218	153	548
219	154	547
220	154	546
221	155	545
222	156	543
223	156	542
224	157	541
225	157	540
226	158	540
227	159	539
228	159	538
229	160	537
230	161	536
231	161	535
232	162	535
233	163	535
234	164	535
235	165	534
236	165	533
237	166	532
238	167	531
239	167	531
240	168	530
241	169	529
242	169	528
243	170	527
244	170	526
245	171	525
246	172	524
247	172	523
248	173	522
249	173	521
250	174	520
251	174	519
252	175	518
253	176	517
254	176	516
255	177	515
256	178	515
257	179	515
258	179	514
259	180	514
260	181	513
261	181	512
262	182	511
263	183	510
264	183	509
265	184	509
266	185	508
267	185	507
268	186	506
269	186	505
270	187	504
271	187	503
272	188	502
273	189	501
274	189	500
275	190	499
276	191	498
277	191	497
278	192	496
279	193	496
280	193	496
281	194	495
282	195	494
283	195	493
284	196	493
285	197	492
286	197	491
287	198	490
288	198	489
289	199	488
290	200	487
291	200	486
292	201	485
293	201	484
294	202	483
295	203	483
296	203	482
297	204	481
298	205	480
299	205	479
300	206	478
301	206	477
302	207	477
303	208	477
304	209	477
305	210	476
306	210	475
307	211	474
308	211	474
309	212	473
310	213	472
311	213	471
312	214	470
313	214	469
314	215	468
315	216	467
316	216	466
317	217	466
318	217	465
319	218	464
320	219	463
321	219	462
322	220	461
323	220	460
324	221	459
325	222	459
326	223	458
327	224	459
328	224	458
329	225	458
330	226	457
331	227	456
332	227	456
333	228	455
334	229	454
335	229	453
336	230	452
337	230	452
338	231	451
339	232	450
340	232	449
341	233	448
342	233	448
343	234	447
344	235	446
345	235	445
346	236	444
347	236	443
348	237	443
349	238	443
350	239	442
351	240	442
352	240	441
353	241	440
354	241	439
355	242	438
356	243	437
357	243	436
358	244	436
359	244	435
360	245	434
361	246	433
362	246	432
363	247	432
364	247	431
365	248	430
366	249	429
367	249	428
368	250	428
369	250	427
370	251	426
371	252	426
372	253	426
373	254	425
374	254	424
375	255	423
376	256	423
377	256	422
378	257	421
379	257	420
380	258	420
381	259	419
382	259	418
383	260	417
384	260	416
385	261	416
386	262	415
387	262	414
388	263	413
389	263	412
